Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
9527664,"17:12, 1 April 2013",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
9509813,"04:41, 30 March 2013",JKL1234,False,revert,active,,17,(Reverted edits by Powerpoint56 (Talk); changed back to last version by BR)
9508447,"00:05, 30 March 2013",Powerpoint56,False,addition,reverted,JKL1234,1,(→‎Steps)
9508445,"00:03, 30 March 2013",Powerpoint56,False,adjustment,reverted,JKL1234,0,(→‎Steps)
9508443,"00:03, 30 March 2013",Powerpoint56,False,deletion,reverted,JKL1234,-2,(→‎Steps)
9508441,"00:02, 30 March 2013",Powerpoint56,False,deletion,reverted,JKL1234,-1,(→‎Steps)
9508440,"00:02, 30 March 2013",Powerpoint56,False,addition,reverted,JKL1234,1,(→‎Steps)
9508439,"00:02, 30 March 2013",Powerpoint56,False,deletion,reverted,JKL1234,-2,(→‎Steps)
9508436,"00:01, 30 March 2013",Powerpoint56,False,deletion,reverted,JKL1234,-14,(→‎Steps)
9349785,"02:01, 6 March 2013",BR,False,deletion,reverted,Isorhythmic,-61,(Quick edit while patrolling)
9349592,"01:40, 6 March 2013",Anugal,False,addition,active,,124,(edited tip from Tips Patrol)
9332205,"01:50, 5 March 2013",InterwikiBot,False,addition,reverted,BR,27,(Adding interwiki link)
9230500,"21:46, 17 February 2013",Nick56x,False,revert,active,,-7,(Reverted edits by 107.192.44.114 (Talk); changed back to last version by Illneedasaviour)
9230373,"21:23, 17 February 2013",107.192.44.114,False,addition,reverted,Nick56x,7,(→‎Steps)
9148905,"07:05, 4 February 2013",Zygomatt,False,revert,active,,-76,(Reverted edits by Cina (Talk); changed back to last version by Isorhythmic)
9147775,"01:22, 4 February 2013",Cina,False,addition,reverted,Zygomatt,76,(edited tip from Tips Patrol)
9085296,"17:32, 23 January 2013",Isorhythmic,False,revert,reverted,Zygomatt,-96,(Reverted edits by Wowwyp (Talk); changed back to last version by Votebot)
9085002,"16:46, 23 January 2013",Wowwyp,False,addition,reverted,Isorhythmic,96,(edited tip from Tips Patrol)
9010605,"18:36, 11 January 2013",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
8220581,"01:18, 8 August 2012",Jamie551,False,deletion,active,,-4,(Edits from the spell checker tool)
7794545,"17:00, 20 May 2012",184.166.114.102,False,deletion,active,,-1,(→‎Steps)
7472683,"22:42, 22 March 2012",WikiHowUser20221012045502,False,cleanup,active,,1,(Spelling)
7378565,"07:03, 4 March 2012",Ttrimm,False,addition,active,,54,(Adding related wikihow from NAB)
7166462,"03:38, 22 January 2012",Ttrimm,False,addition,active,,86,(Adding related wikihow from NAB)
